Frame,Time,F0
300,3.0,0.0
301,3.0100000000000002,0.0
302,3.02,0.0
303,3.0300000000000002,0.0
304,3.04,0.0
305,3.0500000000000003,0.0
306,3.06,0.0
307,3.0700000000000003,0.0
308,3.08,249.0
309,3.09,227.0
310,3.1,227.0
311,3.11,227.0
312,3.12,227.0
313,3.13,227.0
314,3.14,217.0
315,3.15,217.0
316,3.16,217.0
317,3.17,217.0
318,3.18,217.0
319,3.19,203.0
320,3.2,203.0
321,3.21,203.0
322,3.22,203.0
323,3.23,203.0
324,3.24,201.0
325,3.25,201.0
326,3.2600000000000002,201.0
327,3.27,201.0
328,3.2800000000000002,201.0
329,3.29,201.0
330,3.3000000000000003,249.0
331,3.31,249.0
332,3.3200000000000003,249.0
333,3.33,249.0
334,3.34,253.0
335,3.35,253.0
336,3.36,253.0
337,3.37,253.0
338,3.38,253.0
339,3.39,245.0
340,3.4,245.0
341,3.41,245.0
342,3.42,245.0
343,3.43,245.0
344,3.44,233.0
345,3.45,233.0
346,3.46,233.0
347,3.47,233.0
348,3.48,233.0
349,3.49,212.0
350,3.5,212.0
351,3.5100000000000002,212.0
352,3.52,212.0
353,3.5300000000000002,212.0
354,3.54,212.0
355,3.5500000000000003,204.0
356,3.56,204.0
357,3.5700000000000003,204.0
358,3.58,204.0
359,3.59,204.0
360,3.6,188.0
361,3.61,188.0
362,3.62,188.0
363,3.63,0.0
364,3.64,0.0
365,3.65,0.0
366,3.66,0.0
367,3.67,0.0
368,3.68,0.0
369,3.69,0.0
370,3.7,221.0
371,3.71,221.0
372,3.72,221.0
373,3.73,221.0
374,3.74,221.0
375,3.75,212.0
376,3.7600000000000002,212.0
377,3.77,212.0
378,3.7800000000000002,212.0
379,3.79,212.0
380,3.8000000000000003,205.0
381,3.81,0.0
382,3.8200000000000003,0.0
383,3.83,0.0
384,3.84,0.0
385,3.85,0.0
386,3.86,0.0
387,3.87,0.0
388,3.88,0.0
389,3.89,201.0
390,3.9,201.0
391,3.91,201.0
392,3.92,201.0
393,3.93,201.0
394,3.94,201.0
395,3.95,201.0
396,3.96,197.0
397,3.97,197.0
398,3.98,197.0
399,3.99,197.0
400,4.0,197.0
401,4.01,0.0
402,4.0200000000000005,0.0
403,4.03,0.0
404,4.04,0.0
405,4.05,0.0
406,4.0600000000000005,0.0
407,4.07,0.0
408,4.08,0.0
409,4.09,0.0
410,4.1,0.0
411,4.11,211.0
412,4.12,211.0
413,4.13,211.0
414,4.14,211.0
415,4.15,222.0
416,4.16,222.0
417,4.17,222.0
418,4.18,222.0
419,4.19,222.0
420,4.2,234.0
421,4.21,234.0
422,4.22,234.0
423,4.23,234.0
424,4.24,234.0
425,4.25,234.0
426,4.26,249.0
427,4.2700000000000005,249.0
428,4.28,249.0
429,4.29,249.0
430,4.3,249.0
431,4.3100000000000005,249.0
432,4.32,249.0
433,4.33,249.0
434,4.34,249.0
435,4.3500000000000005,249.0
436,4.36,229.0
437,4.37,229.0
438,4.38,229.0
439,4.39,0.0
440,4.4,0.0
441,4.41,0.0
442,4.42,0.0
443,4.43,0.0
444,4.44,0.0
445,4.45,0.0
446,4.46,0.0
447,4.47,213.0
448,4.48,213.0
449,4.49,213.0
450,4.5,213.0
451,4.51,197.0
452,4.5200000000000005,197.0
453,4.53,197.0
454,4.54,197.0
455,4.55,197.0
456,4.5600000000000005,236.0
457,4.57,236.0
458,4.58,236.0
459,4.59,236.0
460,4.6000000000000005,236.0
461,4.61,243.0
462,4.62,243.0
463,4.63,243.0
464,4.64,243.0
465,4.65,243.0
466,4.66,243.0
467,4.67,244.0
468,4.68,244.0
469,4.69,244.0
470,4.7,0.0
471,4.71,0.0
472,4.72,0.0
473,4.73,0.0
474,4.74,0.0
475,4.75,0.0
476,4.76,0.0
477,4.7700000000000005,0.0
478,4.78,0.0
479,4.79,0.0
480,4.8,0.0
481,4.8100000000000005,0.0
482,4.82,0.0
483,4.83,0.0
484,4.84,0.0
485,4.8500000000000005,0.0
486,4.86,0.0
487,4.87,0.0
488,4.88,0.0
489,4.89,182.0
490,4.9,182.0
491,4.91,164.0
492,4.92,164.0
493,4.93,164.0
494,4.94,164.0
495,4.95,164.0
496,4.96,164.0
497,4.97,158.0
498,4.98,158.0
499,4.99,158.0
500,5.0,158.0
501,5.01,158.0
502,5.0200000000000005,157.33333333333334
503,5.03,156.66666666666669
504,5.04,156.0
505,5.05,154.66666666666666
506,5.0600000000000005,153.33333333333331
507,5.07,152.0
508,5.08,152.0
509,5.09,152.0
510,5.1000000000000005,152.0
511,5.11,175.66666666666666
512,5.12,199.33333333333331
513,5.13,223.0
514,5.14,223.0
515,5.15,223.0
516,5.16,223.0
517,5.17,231.0
518,5.18,231.0
519,5.19,231.0
520,5.2,231.0
521,5.21,231.0
522,5.22,232.0
523,5.23,232.0
524,5.24,232.0
525,5.25,232.0
526,5.26,232.0
527,5.2700000000000005,240.0
528,5.28,240.0
529,5.29,240.0
530,5.3,240.0
531,5.3100000000000005,240.0
532,5.32,236.0
533,5.33,236.0
534,5.34,236.0
535,5.3500000000000005,236.0
536,5.36,236.0
537,5.37,224.0
538,5.38,224.0
539,5.39,224.0
540,5.4,224.0
541,5.41,224.0
542,5.42,214.0
543,5.43,214.0
544,5.44,214.0
545,5.45,214.0
546,5.46,214.0
547,5.47,220.0
548,5.48,220.0
549,5.49,220.0
550,5.5,220.0
551,5.51,220.0
552,5.5200000000000005,219.0
553,5.53,219.0
554,5.54,219.0
555,5.55,219.0
556,5.5600000000000005,219.0
557,5.57,219.0
558,5.58,209.0
559,5.59,209.0
560,5.6000000000000005,209.0
561,5.61,0.0
562,5.62,0.0
563,5.63,0.0
564,5.64,0.0
565,5.65,0.0
566,5.66,0.0
567,5.67,0.0
568,5.68,0.0
569,5.69,0.0
570,5.7,0.0
571,5.71,0.0
572,5.72,0.0
573,5.73,206.0
574,5.74,206.0
575,5.75,206.0
576,5.76,206.0
577,5.7700000000000005,206.0
578,5.78,202.0
579,5.79,202.0
580,5.8,202.0
581,5.8100000000000005,202.0
582,5.82,202.0
583,5.83,224.0
584,5.84,224.0
585,5.8500000000000005,224.0
586,5.86,224.0
587,5.87,224.0
588,5.88,223.0
589,5.89,223.0
590,5.9,223.0
591,5.91,223.0
592,5.92,223.0
593,5.93,225.0
594,5.94,225.0
595,5.95,225.0
596,5.96,225.0
597,5.97,225.0
598,5.98,225.0
599,5.99,225.0
600,6.0,225.0
601,6.01,225.0
602,6.0200000000000005,225.0
603,6.03,221.0
604,6.04,221.0
605,6.05,221.0
606,6.0600000000000005,221.0
607,6.07,221.0
608,6.08,240.0
609,6.09,240.0
610,6.1000000000000005,240.0
611,6.11,240.0
612,6.12,240.0
613,6.13,245.0
614,6.140000000000001,245.0
615,6.15,245.0
616,6.16,245.0
617,6.17,245.0
618,6.18,245.0
619,6.19,245.0
620,6.2,245.0
621,6.21,245.0
622,6.22,245.0
623,6.23,234.0
624,6.24,234.0
625,6.25,234.0
626,6.26,234.0
627,6.2700000000000005,234.0
628,6.28,234.0
629,6.29,229.0
630,6.3,0.0
631,6.3100000000000005,0.0
632,6.32,0.0
633,6.33,0.0
634,6.34,0.0
635,6.3500000000000005,0.0
636,6.36,0.0
637,6.37,213.0
638,6.38,213.0
639,6.390000000000001,189.0
640,6.4,189.0
641,6.41,189.0
642,6.42,189.0
643,6.43,187.0
644,6.44,185.0
645,6.45,185.0
646,6.46,185.0
647,6.47,204.66666666666666
648,6.48,224.33333333333331
649,6.49,244.0
650,6.5,244.0
651,6.51,244.0
652,6.5200000000000005,244.33333333333334
653,6.53,244.66666666666669
654,6.54,245.0
655,6.55,245.0
656,6.5600000000000005,245.0
657,6.57,243.0
658,6.58,241.0
659,6.59,239.0
660,6.6000000000000005,239.0
661,6.61,239.0
662,6.62,239.0
663,6.63,239.0
664,6.640000000000001,234.0
665,6.65,229.0
666,6.66,229.0
667,6.67,229.0
668,6.68,0.0
669,6.69,0.0
670,6.7,0.0
671,6.71,0.0
672,6.72,0.0
673,6.73,0.0
674,6.74,0.0
675,6.75,0.0
676,6.76,0.0
677,6.7700000000000005,0.0
678,6.78,0.0
679,6.79,350.0
680,6.8,350.0
681,6.8100000000000005,350.0
682,6.82,350.0
683,6.83,350.0
684,6.84,319.0
685,6.8500000000000005,319.0
686,6.86,319.0
687,6.87,319.0
688,6.88,319.0
689,6.890000000000001,301.0
690,6.9,301.0
691,6.91,301.0
692,6.92,0.0
693,6.93,0.0
694,6.94,0.0
695,6.95,0.0
696,6.96,0.0
697,6.97,0.0
698,6.98,0.0
699,6.99,0.0
700,7.0,0.0
701,7.01,0.0
702,7.0200000000000005,0.0
703,7.03,0.0
704,7.04,146.0
705,7.05,146.0
706,7.0600000000000005,146.0
707,7.07,146.0
708,7.08,146.0
709,7.09,146.0
710,7.1000000000000005,151.5
711,7.11,157.0
712,7.12,157.0
713,7.13,157.0
714,7.140000000000001,157.0
715,7.15,153.0
716,7.16,153.0
717,7.17,153.0
718,7.18,153.0
719,7.19,153.0
720,7.2,153.0
721,7.21,151.0
722,7.22,151.0
723,7.23,151.0
724,7.24,151.0
725,7.25,148.0
726,7.26,148.0
727,7.2700000000000005,148.0
728,7.28,148.0
729,7.29,148.0
730,7.3,148.0
731,7.3100000000000005,0.0
732,7.32,0.0
733,7.33,0.0
734,7.34,0.0
735,7.3500000000000005,0.0
736,7.36,0.0
737,7.37,0.0
738,7.38,0.0
739,7.390000000000001,0.0
740,7.4,0.0
741,7.41,0.0
742,7.42,0.0
743,7.43,231.0
744,7.44,231.0
745,7.45,231.0
746,7.46,231.0
747,7.47,231.0
748,7.48,231.0
749,7.49,260.0
750,7.5,260.0
751,7.51,260.0
752,7.5200000000000005,260.0
753,7.53,240.0
754,7.54,240.0
755,7.55,240.0
756,7.5600000000000005,240.0
757,7.57,240.0
758,7.58,219.0
759,7.59,219.0
760,7.6000000000000005,219.0
761,7.61,219.0
762,7.62,219.0
763,7.63,232.5
764,7.640000000000001,246.0
765,7.65,246.0
766,7.66,246.0
767,7.67,212.0
768,7.68,212.0
769,7.69,212.0
770,7.7,212.0
771,7.71,212.0
772,7.72,212.0
773,7.73,289.0
774,7.74,289.0
775,7.75,289.0
776,7.76,289.0
777,7.7700000000000005,286.0
778,7.78,286.0
779,7.79,286.0
780,7.8,286.0
