Frame,Time,F0
242,2.42,217.0
243,2.43,228.0
244,2.44,239.0
245,2.45,250.0
246,2.46,261.0
247,2.47,272.0
248,2.48,283.0
249,2.49,294.0
250,2.5,305.0
251,2.5100000000000002,302.14285714285717
252,2.52,299.28571428571433
253,2.5300000000000002,296.4285714285715
254,2.54,293.57142857142867
255,2.5500000000000003,290.71428571428584
256,2.56,287.857142857143
257,2.57,285.00000000000017
258,2.58,282.14285714285734
259,2.59,279.2857142857145
260,2.6,276.4285714285717
261,2.61,273.57142857142884
262,2.62,270.714285714286
263,2.63,267.8571428571432
264,2.64,265.0
265,2.65,265.0
266,2.66,265.0
267,2.67,265.0
268,2.68,275.0
269,2.69,0.0
270,2.7,0.0
271,2.71,0.0
272,2.72,0.0
273,2.73,0.0
274,2.74,0.0
275,2.75,0.0
276,2.7600000000000002,0.0
277,2.77,0.0
278,2.7800000000000002,0.0
279,2.79,0.0
280,2.8000000000000003,319.0
281,2.81,319.0
282,2.82,319.0
283,2.83,319.0
284,2.84,319.0
285,2.85,319.0
286,2.86,319.0
287,2.87,298.0
288,2.88,0.0
289,2.89,0.0
290,2.9,138.0
291,2.91,143.71428571428572
292,2.92,149.42857142857144
293,2.93,155.14285714285717
294,2.94,160.8571428571429
295,2.95,166.5714285714286
296,2.96,172.28571428571433
297,2.97,178.00000000000006
298,2.98,183.71428571428578
299,2.99,189.4285714285715
300,3.0,195.14285714285722
301,3.0100000000000002,200.85714285714295
302,3.02,206.57142857142867
303,3.0300000000000002,212.2857142857144
304,3.04,218.0
305,3.0500000000000003,225.0
306,3.06,223.0
307,3.0700000000000003,221.0
308,3.08,219.0
309,3.09,217.0
310,3.1,215.0
311,3.11,213.0
312,3.12,211.0
313,3.13,209.0
314,3.14,209.0
315,3.15,209.0
316,3.16,209.0
317,3.17,209.0
318,3.18,209.0
319,3.19,209.0
320,3.2,209.0
321,3.21,209.0
322,3.22,209.0
323,3.23,174.0
324,3.24,0.0
325,3.25,0.0
326,3.2600000000000002,0.0
327,3.27,0.0
328,3.2800000000000002,0.0
329,3.29,0.0
330,3.3000000000000003,0.0
331,3.31,0.0
332,3.3200000000000003,316.0
333,3.33,316.0
334,3.34,316.0
335,3.35,316.0
336,3.36,316.0
337,3.37,316.0
338,3.38,316.0
339,3.39,316.0
340,3.4,316.0
341,3.41,316.0
342,3.42,316.0
343,3.43,316.0
344,3.44,242.0
345,3.45,0.0
346,3.46,0.0
347,3.47,0.0
348,3.48,96.0
349,3.49,109.0
350,3.5,122.0
351,3.5100000000000002,135.0
352,3.52,148.0
353,3.5300000000000002,161.0
354,3.54,174.0
355,3.5500000000000003,187.0
356,3.56,200.0
357,3.5700000000000003,213.0
358,3.58,226.0
359,3.59,239.0
360,3.6,252.0
361,3.61,265.0
362,3.62,278.0
363,3.63,291.0
364,3.64,304.0
365,3.65,314.0
366,3.66,0.0
367,3.67,0.0
368,3.68,0.0
369,3.69,0.0
370,3.7,0.0
371,3.71,0.0
