roll,pitch,yaw
-2.66508,-1.10466,-1.34843
-2.6715,-1.08901,-1.35906
-2.68344,-1.07187,-1.35986
-2.70046,-1.06643,-1.36112
-2.71406,-1.05441,-1.3539
-2.72137,-1.04249,-1.37638
-2.73027,-1.03199,-1.36698
-2.73867,-1.03542,-1.37575
-2.74885,-1.03256,-1.39049
-2.75816,-1.01684,-1.41593
-2.77191,-1.00696,-1.45242
-2.77546,-0.97576,-1.44558
-2.77886,-0.96711,-1.43439
-2.80481,-0.9494,-1.40353
-2.8125,-0.9458,-1.37133
-2.82255,-0.9403,-1.34919
-2.81238,-0.92708,-1.34942
-2.80717,-0.89701,-1.35523
-2.80322,-0.93113,-1.29974
-2.81831,-0.97784,-1.30457
-2.84204,-1.02152,-1.29552
-2.86829,-1.05139,-1.2979
-2.8796,-1.07694,-1.25703
-2.87621,-1.13538,-1.19722
-2.87917,-1.20457,-1.18737
-2.87565,-1.25066,-1.17137
-2.86701,-1.31602,-1.15482
-2.85641,-1.37404,-1.1255
-2.85405,-1.43327,-1.10177
-2.85599,-1.46907,-1.0593
-2.87309,-1.49492,-1.01733
-2.89045,-1.50044,-0.97993
-2.92036,-1.48083,-0.96319
-2.93943,-1.43487,-0.93702
-2.95016,-1.41575,-0.90641
-2.93392,-1.38157,-0.90586
-2.90968,-1.33782,-0.9649
-2.86332,-1.31123,-0.98711
-2.82319,-1.31362,-1.03577
-2.78703,-1.34931,-1.00841
-2.76987,-1.33005,-0.99117
-2.76705,-1.3117,-0.98315
-2.76304,-1.27895,-1.00418
-2.76045,-1.24415,-1.04092
-2.75114,-1.23251,-1.06879
-2.75638,-1.22595,-1.13296
-2.75799,-1.20716,-1.15799
-2.75907,-1.21021,-1.19401
-2.76106,-1.19421,-1.2261
-2.77621,-1.20247,-1.28472
-2.79142,-1.20033,-1.31361
-2.80371,-1.18736,-1.33246
-2.82118,-1.17619,-1.32325
-2.84907,-1.1739,-1.33967
-2.86276,-1.18392,-1.33309
-2.87328,-1.1999,-1.36156
-2.87341,-1.19793,-1.36607
-2.87138,-1.20501,-1.35209
-2.86636,-1.18491,-1.33563
-2.86576,-1.18289,-1.3345
-2.86646,-1.18816,-1.33551
-2.87152,-1.20322,-1.33969
-2.88132,-1.21721,-1.32883
-2.88753,-1.24488,-1.31735
-2.89707,-1.25123,-1.32498
-2.90639,-1.27227,-1.33371
-2.90522,-1.25821,-1.29309
-2.90161,-1.27074,-1.27149
-2.90284,-1.25025,-1.261
-2.91964,-1.23944,-1.29715
-2.92738,-1.24078,-1.29545
-2.93719,-1.26901,-1.29763
-2.94733,-1.28236,-1.30451
-2.96101,-1.2318,-1.2933
-2.97031,-1.22397,-1.26552
-2.98346,-1.22203,-1.29059
-2.99269,-1.23113,-1.30927
-2.99752,-1.24171,-1.29267
-3.00047,-1.23819,-1.27391
-2.99901,-1.24776,-1.25316
-2.99831,-1.23895,-1.22231
-2.99568,-1.20952,-1.20876
-2.98868,-1.19247,-1.13898
-2.98402,-1.15976,-1.09696
-2.97573,-1.14088,-0.96955
-2.96421,-1.1252,-0.80095
-2.94753,-1.05304,-0.65047
-2.93213,-0.98236,-0.50272
-2.90893,-0.91181,-0.25597
-2.86146,-0.84191,0.03523
-2.81506,-0.79842,0.33408
-2.76351,-0.7743,0.67088
-2.694,-0.7333,1.04488
-2.61918,-0.68322,1.42775
-2.52609,-0.63991,1.82911
-2.44296,-0.60697,2.22772
-2.36075,-0.58434,2.62224
-2.28154,-0.57944,3.076
-2.21672,-0.51382,3.47896
-2.15729,-0.46985,3.87258
-2.10095,-0.42715,4.23436
-2.06358,-0.38445,4.57808
-2.021,-0.32045,4.87349
-1.97505,-0.23057,5.18802
-1.93086,-0.15281,5.48302
-1.89536,-0.08632,5.75375
-1.87094,-0.02221,5.97215
-1.88426,0.08708,6.12932
-1.91006,0.21545,6.31574
-1.94591,0.32351,6.42173
-1.98803,0.42406,6.52478
-2.01764,0.54343,6.55475
-2.05418,0.68185,6.51802
-2.06531,0.76628,6.43418
-2.07275,0.812,6.30858
