roll,pitch,yaw
0.39473,-0.80671,2.19509
0.40259,-0.849,2.03512
0.41677,-0.85614,1.875
0.42874,-0.86746,1.73441
0.4361,-0.88291,1.54398
0.4498,-0.87536,1.38416
0.4426,-0.8439,1.18026
0.43257,-0.82069,1.03246
0.41257,-0.80015,0.8498
0.39997,-0.72024,0.69337
0.39065,-0.6973,0.50905
0.3849,-0.68901,0.32842
0.37047,-0.68367,0.17058
0.36387,-0.6789,-0.04541
0.36496,-0.6568,-0.21382
0.38073,-0.62674,-0.32337
0.38807,-0.58905,-0.51319
0.40291,-0.57501,-0.66759
0.41613,-0.56101,-0.78091
0.41236,-0.50355,-0.92437
0.42399,-0.49211,-1.00838
0.429,-0.45686,-1.15138
0.45718,-0.45405,-1.22103
0.47631,-0.42276,-1.32848
0.49274,-0.39055,-1.43689
0.51241,-0.39056,-1.51101
0.52291,-0.39302,-1.61442
0.54871,-0.3886,-1.61312
0.56874,-0.36611,-1.69501
0.59353,-0.35854,-1.76841
0.61727,-0.37993,-1.83677
0.63423,-0.39005,-1.88602
0.66788,-0.34868,-1.94042
0.69355,-0.3417,-2.04889
0.71687,-0.29349,-2.12114
0.73649,-0.249,-2.1757
0.75687,-0.19635,-2.24041
0.79053,-0.15016,-2.30147
0.84499,-0.11024,-2.35911
0.88979,-0.11359,-2.45824
0.93577,-0.08376,-2.57069
0.99993,-0.02921,-2.65861
1.06682,0.01887,-2.83014
1.15404,0.10201,-3.04028
1.25646,0.18386,-3.23971
1.36534,0.30377,-3.50665
1.47769,0.38179,-3.84978
1.62601,0.42559,-4.16663
1.80887,0.44592,-4.53215
1.99918,0.50805,-4.93623
2.199,0.61286,-5.35869
2.38411,0.72847,-5.81321
2.58148,0.8078,-6.26262
2.78395,0.8894,-6.73715
2.99021,1.00208,-7.1948
3.20482,1.10941,-7.66505
3.37648,1.20748,-8.14254
3.54799,1.30315,-8.57067
3.70958,1.39181,-8.98394
3.8639,1.44673,-9.34109
4.02071,1.42809,-9.60418
4.16294,1.42647,-9.88173
4.29774,1.38051,-10.18015
4.4244,1.31058,-10.395
4.56511,1.23524,-10.52184
4.73171,1.1951,-10.53417
4.93393,1.09258,-10.4793
5.1592,1.0118,-10.32459
5.38678,0.99741,-10.18701
5.62432,0.99287,-10.01038
5.8685,0.8617,-9.7609
6.1254,0.75086,-9.45426
6.36916,0.5997,-9.10091
6.6008,0.45675,-8.73741
6.80269,0.3495,-8.30288
6.98704,0.21941,-7.82991
7.13914,0.13923,-7.38089
7.25699,0.02715,-6.9053
7.35219,-0.09742,-6.42204
7.42658,-0.24232,-5.93038
7.4812,-0.30814,-5.47722
7.50549,-0.37414,-5.07537
7.53318,-0.45607,-4.65463
7.55163,-0.51829,-4.25521
7.53095,-0.54761,-3.90799
7.51425,-0.62074,-3.57604
7.48198,-0.71824,-3.24092
7.43192,-0.76266,-2.97401
7.38552,-0.7978,-2.62817
7.34635,-0.82255,-2.35712
7.28723,-0.89729,-2.13863
7.22767,-0.93773,-1.94164
7.15233,-0.99881,-1.75075
7.06682,-1.04942,-1.58899
6.97299,-1.15433,-1.42799
6.85801,-1.24292,-1.25949
6.73887,-1.34906,-1.0771
6.58016,-1.51976,-0.98116
6.43419,-1.64612,-0.8447
6.28351,-1.78043,-0.69174
6.13549,-1.96001,-0.53475
5.96959,-2.14101,-0.40817
5.7945,-2.2928,-0.33617
5.63491,-2.41291,-0.27106
5.49019,-2.56954,-0.24366
5.35696,-2.65342,-0.19447
5.23691,-2.78233,-0.10832
5.12881,-2.8668,-0.04944
5.0222,-2.96708,-0.03923
4.91441,-3.06165,-0.00746
4.80992,-3.10798,0.00895
4.72862,-3.16942,0.06203
4.64963,-3.20196,0.10974
4.57514,-3.23124,0.18367
4.51424,-3.23938,0.2608
4.45856,-3.24239,0.30943
4.40434,-3.21237,0.34076
4.36413,-3.21443,0.3873
4.33469,-3.20444,0.41786
4.32513,-3.20903,0.47725
4.31299,-3.22428,0.49816
4.30497,-3.27657,0.53888
4.30233,-3.30037,0.56012
4.30969,-3.32954,0.59027
4.31365,-3.34943,0.60424
4.32845,-3.3895,0.66848
4.34503,-3.39274,0.72149
4.35641,-3.40232,0.73936
4.35692,-3.38757,0.74643
4.36674,-3.37257,0.76614
4.37853,-3.35273,0.82234
4.36781,-3.33012,0.83225
4.35616,-3.31924,0.82437
4.32875,-3.30404,0.78291
4.31422,-3.28637,0.84095
4.29126,-3.2393,0.86608
4.25997,-3.15625,0.85276
4.23577,-3.05712,0.83494
4.20752,-2.95667,0.8335
4.17297,-2.90014,0.85556
4.14462,-2.87708,0.86657
4.11523,-2.86237,0.86317
4.09436,-2.8687,0.90251
4.06574,-2.86791,0.90163
4.03047,-2.84911,0.88262
4.01115,-2.84841,0.86164
3.98199,-2.86578,0.86041
3.96583,-2.87512,0.8776
3.93957,-2.90625,0.88396
3.91964,-2.92393,0.88226
3.89457,-2.93123,0.88061
3.85147,-2.93855,0.86531
3.81686,-2.9334,0.83502
3.78164,-2.92959,0.82951
3.74827,-2.91823,0.83739
3.71477,-2.95361,0.80387
3.68744,-2.98098,0.82506
3.65125,-3.0382,0.81901
3.61585,-3.06138,0.80273
3.58437,-3.08386,0.7562
3.56374,-3.10532,0.79903
3.53718,-3.10799,0.80901
3.51477,-3.10247,0.79902
3.48544,-3.07957,0.80346
3.45082,-3.06868,0.77544
3.42318,-3.05564,0.75851
3.41596,-3.01885,0.74987
3.41343,-3.00755,0.70041
3.42019,-3.00659,0.69921
3.39831,-3.02129,0.68172
3.37562,-3.03768,0.65639
3.35972,-3.05733,0.66957
3.34513,-3.06603,0.67443
3.32516,-3.07908,0.67814
3.32043,-3.09052,0.70407
3.30651,-3.11756,0.67065
3.28281,-3.13242,0.6515
3.25407,-3.13483,0.64162
3.22849,-3.19587,0.63013
3.20849,-3.2557,0.63068
3.17789,-3.30523,0.61027
3.15386,-3.36478,0.62625
3.13377,-3.38466,0.58843
3.10301,-3.45253,0.55634
3.07594,-3.47066,0.51077
3.0577,-3.50599,0.49837
3.04233,-3.52638,0.45184
3.02334,-3.62094,0.45457
3.0054,-3.71003,0.44233
2.99578,-3.77989,0.41102
2.97184,-3.81135,0.3669
2.96606,-3.86268,0.35367
2.95211,-3.918,0.31651
2.94619,-3.97381,0.2974
2.93506,-4.06906,0.29948
2.94061,-4.1546,0.27079
2.9294,-4.20917,0.28059
2.91581,-4.29278,0.28104
2.88823,-4.35648,0.28723
2.85665,-4.44374,0.32577
2.8397,-4.47777,0.36556
2.81239,-4.50692,0.38438
2.80515,-4.62112,0.42717
2.79136,-4.69588,0.48072
2.77546,-4.80461,0.52613
2.75107,-4.85099,0.55906
2.72928,-4.90838,0.57477
2.69233,-4.962,0.59048
2.66318,-5.03222,0.63846
2.63944,-5.12606,0.70762
2.6166,-5.17407,0.76485
2.61721,-5.20422,0.8572
2.61657,-5.20896,0.9273
2.61043,-5.22683,0.94089
2.61558,-5.22765,0.99944
2.62091,-5.16122,1.10914
2.61907,-5.06662,1.17449
2.6052,-4.97914,1.30247
2.56245,-4.92472,1.33384
2.51599,-4.87622,1.38464
2.48601,-4.83229,1.43455
2.45601,-4.73694,1.46969
2.42843,-4.68811,1.51216
2.40031,-4.60231,1.54006
2.38034,-4.50756,1.57748
2.36454,-4.42962,1.65802
2.34569,-4.3385,1.6991
2.32609,-4.20044,1.75058
2.27291,-4.12912,1.77557
2.20261,-4.03482,1.82302
2.12964,-3.97452,1.88844
2.0712,-3.85458,1.93112
2.01479,-3.71056,1.96587
1.95671,-3.58903,2.0199
1.8916,-3.4207,2.07333
1.83155,-3.2606,2.15717
1.78283,-3.04389,2.222
1.71177,-2.81344,2.27505
1.64362,-2.5654,2.3733
1.58104,-2.33626,2.47368
1.49972,-2.21995,2.59197
1.40768,-2.06763,2.74026
1.29627,-1.96364,2.84846
1.17733,-1.82945,2.96141
1.05312,-1.73275,3.09224
0.93505,-1.66416,3.23911
0.80575,-1.61621,3.37629
0.68955,-1.59729,3.52736
0.55943,-1.58917,3.62602
0.43522,-1.57838,3.78908
0.28661,-1.56138,3.90634
0.13412,-1.53924,4.01861
-0.01068,-1.53596,4.17961
-0.14734,-1.54147,4.3831
-0.32187,-1.55128,4.56807
-0.5131,-1.52338,4.72423
-0.70485,-1.48086,4.88583
-0.88443,-1.47768,5.09529
-1.07977,-1.46715,5.26678
-1.26409,-1.44508,5.41834
-1.43046,-1.39822,5.59791
-1.59028,-1.3425,5.71437
-1.72894,-1.30874,5.8913
-1.87396,-1.25671,6.04413
-1.99367,-1.20467,6.17846
-2.09284,-1.16906,6.34872
-2.1965,-1.12788,6.45816
-2.28956,-1.12062,6.55296
-2.37736,-1.09378,6.69251
-2.46526,-1.07211,6.79676
-2.54112,-1.0228,6.8613
-2.58872,-0.96214,6.92617
-2.62938,-0.96277,6.96536
-2.66189,-0.98598,7.00699
-2.67812,-1.02959,7.0235
-2.68369,-1.0622,7.03899
-2.67601,-1.10984,7.03378
-2.66114,-1.14237,7.02599
-2.65006,-1.13953,6.98558
-2.63364,-1.17264,6.96192
-2.61994,-1.15177,6.94796
-2.61184,-1.16005,6.93227
-2.60213,-1.12431,6.88729
-2.59693,-1.13223,6.86195
-2.58926,-1.11799,6.80945
-2.57483,-1.14064,6.78533
-2.55228,-1.1423,6.73394
-2.51184,-1.16881,6.73252
-2.4859,-1.15901,6.66669
-2.45983,-1.18648,6.61707
-2.45256,-1.20432,6.55049
-2.43594,-1.19773,6.53345
-2.42032,-1.18355,6.50062
-2.40369,-1.13469,6.49062
-2.37678,-1.09844,6.47024
-2.35953,-1.0861,6.37895
-2.33648,-1.08915,6.3261
-2.3232,-1.09158,6.25205
-2.31222,-1.109,6.21443
-2.294,-1.12893,6.17802
-2.27816,-1.13523,6.15369
-2.25549,-1.15368,6.16469
-2.24871,-1.16433,6.1351
-2.24941,-1.18058,6.07559
-2.24172,-1.19908,6.035
-2.23737,-1.18866,6.02069
-2.23954,-1.12446,5.98562
-2.24919,-1.09366,6.004
-2.26043,-1.09788,6.01269
-2.27462,-1.10105,5.99079
-2.27955,-1.10451,5.97597
-2.26958,-1.07601,5.99127
-2.26567,-0.98192,5.98012
-2.26258,-0.93974,5.96552
-2.26789,-0.85813,5.95714
-2.27663,-0.80956,5.95021
-2.29275,-0.76752,5.96999
-2.3147,-0.69868,5.97449
-2.32906,-0.63561,6.00165
-2.33993,-0.60902,6.02377
-2.35211,-0.56943,6.02085
-2.36464,-0.51366,6.03635
-2.3687,-0.46683,6.04031
-2.37148,-0.4274,6.03629
-2.3667,-0.40782,6.06948
-2.36286,-0.40202,6.06623
-2.35807,-0.40792,6.07973
-2.35447,-0.41304,6.05774
-2.34609,-0.41747,6.04189
-2.3328,-0.40016,6.02429
-2.31797,-0.39062,6.01462
-2.306,-0.38107,6.02257
-2.28968,-0.37856,6.01522
-2.28143,-0.38777,5.97919
-2.27488,-0.43237,5.95144
-2.26151,-0.43814,5.94437
-2.23644,-0.48122,5.9676
-2.19879,-0.47687,5.99939
-2.16652,-0.51079,5.99042
-2.12747,-0.53781,6.00097
-2.09916,-0.54354,5.98235
-2.07066,-0.5575,5.95458
-2.0317,-0.56315,5.93067
-1.99508,-0.61317,5.90313
-1.94975,-0.65292,5.89284
-1.90273,-0.7259,5.88385
-1.85784,-0.77072,5.8623
-1.81719,-0.78872,5.85213
-1.78505,-0.78524,5.83297
-1.7502,-0.81961,5.81449
-1.71139,-0.78767,5.75408
-1.67875,-0.76354,5.72588
-1.64189,-0.75362,5.75532
-1.62016,-0.70351,5.74641
-1.60042,-0.63346,5.72317
-1.57457,-0.58851,5.72279
-1.54023,-0.50573,5.65725
-1.505,-0.4298,5.54986
-1.45159,-0.32607,5.50573
-1.40726,-0.25377,5.43158
-1.36503,-0.20903,5.36595
-1.31924,-0.12122,5.31436
-1.28725,-0.00945,5.23139
-1.24649,0.04898,5.14335
-1.20903,0.11754,5.04633
-1.16621,0.16143,4.93682
-1.12717,0.27772,4.85225
-1.08055,0.34381,4.79266
-1.0508,0.44663,4.69475
-1.01905,0.51875,4.62385
-0.99459,0.59617,4.52693
-0.98636,0.70238,4.38031
-0.96358,0.77393,4.2624
-0.92537,0.82278,4.159
-0.87911,0.89508,4.10997
-0.84073,0.97905,4.05684
-0.81243,1.05321,3.98192
-0.80215,1.13927,3.89154
-0.78533,1.23473,3.79939
-0.75479,1.28268,3.75994
-0.71951,1.27992,3.74914
-0.67259,1.3113,3.73976
-0.63766,1.36991,3.71298
-0.61998,1.43438,3.66264
-0.58937,1.46455,3.62742
-0.56594,1.4864,3.58806
-0.5368,1.48741,3.55695
-0.5188,1.48422,3.52751
-0.49463,1.49283,3.53855
-0.47141,1.527,3.55227
-0.45622,1.55798,3.56522
-0.43454,1.55293,3.55959
-0.41149,1.52336,3.53857
-0.39547,1.51014,3.50976
-0.38069,1.49347,3.48555
-0.35861,1.47583,3.46514
-0.34787,1.47348,3.4576
-0.33307,1.47666,3.40548
-0.32101,1.4923,3.33341
-0.29832,1.49789,3.28971
-0.26957,1.53279,3.26968
-0.25095,1.54861,3.23371
-0.2237,1.54713,3.19378
-0.19556,1.60991,3.13664
-0.1634,1.7026,3.08772
-0.13296,1.75342,3.04576
-0.1028,1.84268,3.00153
-0.06904,1.90686,2.96972
-0.04058,1.93725,2.90063
-0.00523,2.01999,2.81536
0.01766,2.05928,2.7227
0.03235,2.1922,2.59318
0.06245,2.25566,2.5162
0.09371,2.30906,2.49428
0.12412,2.40522,2.45304
0.15365,2.47594,2.4104
0.16506,2.59696,2.28535
